代码 / Code,名称 / Name,代码 / Code,备注 / Notes
A00,标准化、质量管理,A00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
A01,技术管理,A00/09,技术文件管理，能源管理，设备、工具管理等。
A02,经济管理,A00/09,计划、供销、财务、劳资管理等。
A10,商业、贸易、合同,A10/19,商业、贸易、商检与合同等。
A11,金融、保险,A10/19,银行工作、会计制度、证券格式、货币、规范、信贷、信托等。
A12,供应与使用关系,A10/19,消费者标准等。
A13,文件格式,A10/19,证件、行政文件、表格、卡片等。
A14,图书馆、档案、文献与情报工作,A10/19,收集、加工、报道、服务和管理等。包括自动化处理，手工、机器检索，机器翻译以及缩微技术。缩微设备入N47。
A15,电影与摄影技术,A10/19,术语、设计、工艺试验方法质量评定、电影与摄影技术等。电影胶片、照相胶卷入G80/81，照相级化学药品入G84/85，电影与摄影设备入N40/44和N46。电光源入K71。
A16,服务标准,A10/19,
A17,印刷技术,A10/19,印刷材料入此。印刷机械入J87。
A18,教育、学位、学衔,A10/19,
A19,编辑、出版,A10/19,文字、印刷符号、校对符号、出版规定等。
A20,综合技术,A20/39,优先数与优先数系统、抽样、价值工程等
A21,环境条件与通用试验方法,A20/39,环境条件分级入此。
A22,术语、符号,A20/39,术语编制原则，通用的术语、图形符号、文字符号等。
A24,分类编码,A20/39,国家、部门、行业、职业、产品、文献等的分类编码。
A25,人类工效学,A20/39,
A26,颜色,A20/39,安全色入此。
A28,筛分、筛板与筛网,A20/39,术语、系列等。
A29,材料防护,A20/39,金属、非金属材料防护（如电镀、涂装等）及其试验方法等。
A31,爆破技术,A20/39,定向爆破、微型爆破、爆炸成型、震源射孔、切割等。
A40,基础学科综合,A40/49,
A41,数学,A40/49,数理统计方法等。
A42,物理学与力学,A40/49,热与热力学、光学、流体力学、空气力学、声学与振动、电学、磁学等。摩擦、磨损入此。
A43,化学,A40/49,基本化学分析方法等。
A44,地球科学,A40/49,
A45,海洋学,A40/49,术语、水文、气象等海洋要素分析，海洋规范、监测、环境资料标准等。
A46,天文学,A40/49,时间表示法等。
A47,气象学,A40/49,大气标准、气象灾害等。
A50,计量综合,A50/64,术语、符号、测量技术的基本规定等。
A51,量和单位,A50/64,量和单位的名称、符号、定义等。换算值入此。
A52,长度计量,A50/64,长度、角度基准、主要用于标准器的计量器具及检定装置等。直尺、卷尺等入此。
A53,力学计量,A50/64,力学基准、主要用于标准器的计量器具及检定装置等。杠杆式衡器、秤具入此。电子秤入N13。
A54,热学计量,A50/64,热学基准、主要用于标准器的计量器具及检定装置等。
A55,电磁计量,A50/64,电磁基准、主要用于标准器的计量器具及检定装置等。
A56,无线电计量,A50/64,无线电基准、主要用于标准器的计量器具及检定装置等。
A57,时间、频率计量,A50/64,时间、频率基准，主要用于标准器的计量器具及检定装置等。
A58,电离幅射计量,A50/64,电离辐射基准、主要用于标准器的计量器具及检定装置等。
A59,声学计量,A50/64,声学基准、主要用于标准器的计量器具及检定装置等。
A60,光学计量,A50/64,光学基准、主要用于标准器的计量器具及检定装置等。
A61,化学计量,A50/64,化学基准、主要用于标准器的计量器具及检定装置等。
A65,金属化学成分标准物质,A65/74,用于金属化学成分分析仪器的校准，分析方法的评价以统一量值的物质或材料。
A66,非金属化学成分标准物质,A65/74,用于非金属化学成分分析仪器的校准，分析方法的评价，以统一量值的物质或材料。
A67,物理特性标准物质,A65/74,用于物理特性测量仪器的校准，测量方法的评价，以统一量值的物质或材料。
A68,物理化学特性标准物质,A65/74,用于物理化学特性测量仪器的校准，测量方法的评价、以统一量值的物质或材料。
A69,工程技术特性标准物质,A65/74,用于工程技术测量设备的校准，测量方法的评价，以统一量值的物质或材料。
A75,测绘综合,A75/79,术语、符号等。
A76,大地、海洋测绘,A75/79,天文、基线、三角（边）、空间、导线、水准、重力等测量及平差计算，海道测量，海底地形测量，海深测量等。
A77,摄影与遥感测绘,A75/79,航空摄影、遥感测绘等。
A78,精密工程与地籍测绘,A75/79,精密工程测量、变形观测、平板仪测量、地形测量、地籍控制测量、地址点测量、地籍碎部点测量等。
A79,地图制印,A75/79,图式、编绘、制印及地名标准化等。
A80,标志、包装、运输、贮存综合,A80/89,
A82,包装材料与容器,A80/89,通用的金属与非金属材料瓶、罐、桶、袋等。麻袋入W33，一般用瓶罐入Y22/29。
A83,包装方法,A80/89,堆码、跌落、冲击、渗漏、压力、防水等试验方法入此。
A84,包装工具,A80/89,包装机械入J83。
A85,集装箱、托盘、货架,A80/89,集装箱的分类、系列、角装置及试验方法，托盘、货架型式尺寸等。集装箱、托盘、货架的维护修理入此。集装箱汽车入T57，集装箱船入U13，装卸机械入J83。
A87,运输、贮存,A80/89,运输、仓库物品贮存及贮存过程中共性条件规定（如国际联运、铁路、公路、水运、航空联运等）等。
A88,包装印记、铅封、贴标,A80/89,
A90,社会公共安全综合,A90/94,社会公共安全法规，户籍等特殊证件管理、电子计算机与信息安全管理，基础标准等。
A91,安全防范报警系统,A90/94,监控系统、报警控制器、探测器、防盗报警装置、安全检查、防爆器设备等。
A92,犯罪鉴定技术,A90/94,刑事犯的人、事物、时间、空间组成的信息物证、毒物、血清、物化分析方法和技术等。
A94,警用装备与器械,A90/94,警用装备、被装，警用电击器、手铐等。
B00,标准化、质量管理,B00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
B01,技术管理,B00/09,技术文件管理、能源管理，设备、工具管理等。
B02,经济管理,B00/09,计划、供销、财务、劳资管理等。
B04,基础标准与通用方法,B00/09,术语、符号、取样、制样方法，通用试验方法等。
B05,农林技术,B00/09,栽培、机械化操作技术、田间管理等。飞机播种、治虫、护林作业技术入V53。
B07,电子计算机应用,B00/09,耕作手势入此。
B08,标志、包装、运输、贮存,B00/09,
B09,卫生、安全、劳动保护,B00/09,
B10,土壤、肥料综合,B10/14,术语，符号，分类，取样、分析方法等。
B11,土壤、水土保持,B10/14,
B13,肥料与土壤调理剂,B10/14,有机肥源、堆肥、绿肥、施肥方法等。化学肥料与化工产品土壤调理剂入G20/21。
B15,植物保护综合,B15/19,术语，符号，分析、试验方法等。
B16,植物检疫、病虫害防治,B15/19,灾害与预测等。
B17,农药管理与使用方法,B15/19,农药制造入G23/25。
B18,农业气象,B15/19,
B20,粮食、饲料作物综合,B20/29,术语、符号、代号、取样方法、分析方法、运输贮存等。
B21,种籽与育种,B20/29,品种、选种等。牧草种子入此。
B22,禾谷类作物与产品,B20/29,谷、稻、麦、玉米、高梁等。粮食加工品入X11。
B23,豆类、薯类作物与产品,B20/29,豆类加工品入X11。
B25,饲料作物,B20/29,牧草、青饲料等。
B30,经济作物综合,B30/39,术语、符号、取样方法、分析方法等。
B31,爪果、蔬菜种植与产品,B30/39,坚果入B66，蔬菜加工制品入X26。
B32,纤维作物与产品,B30/39,棉、麻等。
B33,油料作物与产品,B30/39,木本油料作物入B66。食用油料加工制品入X14。
B34,糖料作物与产品,B30/39,甘蔗、甜菜等。制糖及糖制品入X30/34。
B35,烟草、饮料作物与产品,B30/39,烟草加工与制品入X85/89，茶叶制品入X55。
B36,香料、佐料作物与产品,B30/39,香茅草、姜等。
B38,药用植物与产品,B30/39,人参、天麻、当归等。
B39,其他经济作物,B30/39,木耳、蘑菇（包括天然人工培植）等。
B40,畜牧综合,B40/49,术语、符号、分析方法等。草原、草场标准入此。
B41,动物检疫、兽医与疫病防治,B40/49,
B42,兽药与畜牧、兽医用器械,B40/49,
B43,家畜、家禽,B40/49,畜禽饲养繁殖技术、品种、种畜、种禽等。
B44,饲养动物,B40/49,药用动物、食用动物、科学试验用动物、经济动物、观赏动物等。
B45,畜、禽产品,B40/49,饲养、野生畜禽的原毛、生皮、鬃、肠衣等。
B46,畜禽饲料与添加剂,B40/49,各种配合、混合饲料及添加剂（鱼、磷、钙粉等）。
B47,养蜂、养蚕,B40/49,养蜂、养蚕技术，初加工产品、以及器具等。
B50,水产、渔业综合,B50/59,术语、符号、代号、分类、检验方法等。
B51,海水养殖与产品,B50/59,水产再加工品入X类。
B52,淡水养殖与产品,B50/59,水产再加工品入X类。
B53,水产品保鲜,B50/59,各种水产品保鲜与加工设备入此。冷冻、冷藏设备入J73。
B54,渔业饲料,B50/59,饵料与添加剂入此。
B56,水产、渔业用器具,B50/59,各种网具、钓具、线、绳等。
B60,林业基础标准与通用方法,B60/79,术语、通用试验方法等。
B61,种子、苗木、苗圃,B60/79,林木种子等级、区划、贮藏采种技术规程、良种繁育与鉴定推广、适宜种源区划、种苗规程、育苗技术、苗木栽培鉴定，苗木质量、产量标准，总体规划等。
B62,观赏植物,B60/79,花卉等。
B64,森林经营技术,B60/79,连生丰产林，农田防护林，防沙林，海岸防护林，水源涵养林，森林更新技术，低产林改造、间伐技术，组织经营技术等。
B65,森林资源保护,B60/79,资源调查，资源区划，防治病虫害，野生动物、植物保护等。
B66,经济林与副产品,B60/79,木本粮油林、糖料林、香料林、调料林、工业原料林（如：橡胶林、紫胶、白蜡、五倍子）等。
B67,原竹与竹材,B60/79,
B68,原条与原木,B60/79,原条、原木材积麦、材质、等级及尺寸要求，木材缺陷，区界符号，采伐运输作业管理等。
B69,木材加工材,B60/79,普通锯材、特殊用途锯材、木制半成品材等。
B70,人造板,B60/79,胶合板、纤维板、刨花板、复合板、人造板二次加工产品，塑料贴面板等。
B71,木材竹材防腐,B60/79,防腐技术、产品质量等。
B72,林产化工原料,B60/79,天然树脂、天然胶、天然漆、天然樟脑、天然色素、天然单宁、木本油脂、木本香料、松香、松节油及其初加工产品。
B73,木炭,B60/79,木材热解产品入G16。
B90,农、林机械与设备综合,B90/99,术语、符号、分类、命名、参数、检验通则、操作规则、试验方法、农林机械维修等。
B91,农机具,B90/99,耕整、种植、植保、收获、场上作业、排罐、农田建设等机械。通用泵入J71。
B92,畜牧、家禽机械与设备,B90/99,饲养、禽畜、畜产品采集、加工等机械。
B93,农副产品与饲料加工机械,B90/99,
B94,渔业机械与设备,B90/99,捕捞、养殖机械设备，渔业用仪器等。渔船入U15。
B95,营林机械与机具,B90/99,种苗、林地清理、造林、中幼林抚育、土壤改良等机械和机具。草原机具入此。
B96,木材采运机械与设备,B90/99,采伐、集运、贮木场造选归装作业等设备。林区铁路入S类，木材运输专用汽车入T55。
B97,锯材、人造板机械与设备,B90/99,胶合板、纤维板、刨花板、木片等用的机械设备。通用木工机床、机用工具入J65。手工工具入J47。电动工具入K64。
C00,标准化、质量管理,C00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
C01,技术管理,C00/09,技术文件管理，能源管理，设备、工具管理等。
C02,经济管理,C00/09,计划、供销、财务、劳资管理等。
C04,基础标准与通用方法,C00/09,
C05,医学,C00/09,基础、临床、预防、航空、航天医学等。
C06,法医,C00/09,法医技术与器材等。
C07,电子计算机应用,C00/09,
C08,标志、包装、运输、贮存,C00/09,
C10,医药综合,C10/29,术语、命名、红外图谱集、制剂通则、通用检验和测定方法等。
C11,中国药典及成册药品标准,C10/29,成册药品的行业、地方标准入此。
C12,抗生素类药,C10/29,原料药与制剂等。
C13,磺胺、抗结核与其他抗感染药,C10/29,原料药与制剂等。
C14,解热镇痛、麻醉与中枢神经系统用药,C10/29,原料药与制剂等。
C15,激素、计划生育、抗肿瘤药与免疫抑制药,C10/29,原料药与制剂等。
C16,抗寄生虫、抗组胺、地方病药与解毒药,C10/29,原料药与制剂等。
C17,心血管、呼吸与血液系统用药,C10/29,原料药与制剂等。
C18,消化、泌尿系统与调节酸碱平衡用药,C10/29,原料药与制剂等。
C19,诊断用药、外用消毒药与五官科、皮肤科用药,C10/29,医用同位素入F54。
C20,维生素类、滋补营养、氨基酸、酶类药与其他生化药品,C10/29,
C21,制剂用辅料与其他,C10/29,稳定剂、抗氧剂、防腐剂、赋形剂等。
C23,中药材,C10/29,根、根茎、叶、花、果实、全草、种子、皮、藤木、树脂、藻菌、动物、昆虫、矿物等。
C25,中药制剂,C10/29,蜜丸剂、水丸剂、散、片、膏（剪膏、蜜膏、浸膏）、糖浆、酊剂与注射剂、药酒等。
C27,生物制品与血液制品,C10/29,血清、疫苗、菌苗及血液制品等。
C30,医疗器械综合,C30/49,术语、符号、代号、分类、命名、通用的试验方法，技术条件及零部件，工艺与工艺装备等。
C31,一般与显微外科器械,C30/49,基本外科、烧伤外科、神经外科、显微器械及注射穿刺输液器械等。
C32,眼科与耳鼻咽喉科手术器械,C30/49,
C33,口腔科器械、设备与材料,C30/49,口腔科治疗、手术、整形用器械和设备，牙科修复、充填、金属整矫印模材料等。
C35,矫形外科、骨科器械,C30/49,骨科器械（刀、剪、钳、镊等），安装器械，埋入器械，矫形器械等。
C36,其他专科器械,C30/49,计划生育、妇产科、儿科器械等，胸腔心血管外科、腹部外科、泌尿肛肠外科器械及中医器械等。
C37,医疗设备通用要求,C30/49,术语、符号、代号等。
C38,普通诊察器械,C30/49,体温、血压、听诊、呼吸等诊察器械及反光器具等。
C39,医用电子仪器设备,C30/49,电生理与非电参数检测仪，生理记录、监护、运动试验装置等。通用电子仪器入N33。
C40,医用光学仪器设备与内窥镜,C30/49,眼科仪器，纤维、硬管内窥镜，直观窥镜等。显微镜入N33
C41,医用超声、激光、高频仪器设备,C30/49,超声、激光诊断、治疗设备、高频电刀设备等。
C42,理疗与中医仪器设备,C30/49,电疗、磁疗、光疗、浴疗、体疗等理疗仪器设备，中医电针、针麻、刺激仪器等。
C43,医用射线设备,C30/49,医用X线设备，同位素诊断、治疗设备，检测防护装置等。
C44,医用化验设备,C30/49,医用加速器入F91，医用同位素入F54。医用化验设备（细胞离心、细菌培养等），生化分析仪，血液化验器具与设备，病理学化验设备，纯水设备等。
C45,体外循环、人工脏器、假体装置,C30/49,助听器入L31。
C46,手术室设备,C30/49,手术台、床、椅设备，麻醉呼吸设备，吸引冲洗设备，急救设备等。医用照明灯具入K73
C47,公共医疗设备,C30/49,病房、普查、救护、防疫、消毒与医用冷冻设备等。通用冷冻设备入J73。医用汽车入T56。
C48,医用卫生用品,C30/49,医用膏布、敷料、卫生用品、缝合线、导管等。橡胶、胶乳制品入G45。
C50,卫生综合,C50/64,术语、符号，通用试验方法、生物监测、食品企业工艺卫生规范等。
C51,环境卫生,C50/64,大气、水体、土壤中有害物质卫生指标、要求，城市区域规划、公共设施卫生指标要求及监测方法等。日用化学品卫生指标及监测方法入此。
C52,劳动卫生,C50/64,车间、厂矿的生物、化学、物理性危害指标要求及监测方法等。
C53,食品卫生,C50/64,食品卫生及包装材卫生指标和要求，及其监测、管理方法等。
C54,食品添加剂、营养强化剂卫生,C50/64,添加剂营养强化在食品中的限量值和使用范围及其监测方法等。
C55,营养卫生,C50/64,营养指标、要求及其监测管理方法等。
C56,学校卫生,C50/64,对学生有碍健康因素的指标、要求及监测方法等。
C57,放射卫生防护,C50/64,放射卫生防护指标、要求及监测方法等。
C59,传染病与消毒,C50/64,
C60,职业病诊断标准,C50/64,尘肺、职业中毒等职业因素所导致疾病的诊断标准。放射性疾病诊断标准入此。
C61,公害病诊断标准,C50/64,受自然环境污染、食品中毒所致疾病的诊断标准。
C62,卫生检疫,C50/64,航空、陆路等国境检疫。
C63,妇幼卫生、计划生育技术,C50/64,
C65,劳动安全技术综合,C65/74,术语、符号，通用试验方法、色灯、手示、旗语、哨声、安全信号等。
C66,安全控制技术,C65/74,物体、机械、电力、起重等伤害，淹溺、灼烫、高空坠落、坍塌、装卸、运输、静电控制等安全技术设施。
C67,工厂防火防爆安全技术,C65/74,安全技术规程，可燃性气体、液体、粉尘分级，易燃、易爆物分级，防爆、防火措施，明火、动火管理，水灾危险性气体整体设施等。
C68,生产设备安全技术,C65/74,通则，危险设备分级和安全使用规则，制造、检验、维护安全规程，特殊机电产品安全要求等。
C69,防护设备的安全要求,C65/74,粉尘、毒气净化设备与躁声、激光控制设备在设计、制造、使用方面的安全要求，及其试验条件与方法等。
C70,工业防尘防毒技术,C65/74,尘毒气体危害程度分级、分类、标定原则，通风除尘、排毒，自然、机械通风分级与技术措施等。
C71,工业物理因素危害控制,C65/74,物理因素危害分类、分级和标定，采暖、防潮技术措施，噪声、振动、激光、紫外线、射频辐射的防护、隔离、屏蔽措施等。
C72,生产环境安全卫生设施,C65/74,生产场所、厂区环境安全卫生管理规范，作业安全，卫生通则，生产环境、劳动条件分类、分级和要求，安全标志、通道、间距等。
C73,劳动防护用品,C65/74,各种防护用品（如安全带、帽等）的设计、制造要求、使用、试验方法等。
C75,劳动保护管理综合,C75/79,事故性质、分类、范畴、形态、频率，事故危险程度判定，事故隐患检定，工厂事故危险预测方法，事故原因调查、分析、统计及经济损失计算等。
C76,工时、休假与女工、未成年工保护,C75/79,劳动时间、倒班制、有毒害工种的缩短工时间、定期轮换制，劳动休假制度以及女工、未成年工特殊保护规定等。
C77,安全卫生技能考核,C75/79,安全卫生技能管理、评价与考核，特殊工种分类、管理及审定条件等。
C78,安全卫生管理,C75/79,压力机、起重机械、压力容器等特种设备在设计、制造、检验、使用的管理规程，冶金、石油化工、工程建设等行业安全卫生规定等。
C80,消防综合,C80/89,术语、符号、代号、分类、基础标准与通用方法、计算方法等。
C81,火警监视、报警与消防调度系统,C80/89,火警监督、辅助防护信号、消防调度系统等。各种火灾报警器如此。
C82,防火技术,C80/89,建筑、石油化工、电气设备、交通运输、森林、矿井等火灾预防技术。
C83,灭火技术,C80/89,灭火技术，固定灭火、抑爆系统，消防供水技术等。
C84,消防设备与器材,C80/89,消防车、船、飞机等装设的灭火设备与器材，消防用灭火器、水带、消火栓、灭火药剂、阻火材料等。
C85,消防救生、辅助工具,C80/89,消防用安全带、防毒面具、救生绳、服装、鞋、帽及破拆工具等。
C90,制药、安全机械与设备综合,C90/99,术语，分类，型号，试验方法，工装，通用零部件。
C91,原料药加工机械与设备,C90/99,发酵罐，反应罐以及结晶、过滤、分离、干燥、提取等设备。
C92,制药加工机械与设备,C90/99,压片、搪衣、胶囊分装、洗瓶机械与消毒灭菌装置等。
C93,药材采取与中药加工机械,C90/99,炒药、切药、配方机械等。
C94,制药安全监测仪器,C90/99,有毒气体、悬浮物、防火、防爆及物理因素危害等监测仪器。通用分析仪器入N50/59。
C95,药品检验仪器,C90/99,通用仪器入N类。
D00,标准化、质量管理,D00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
D01,技术管理,D00/09,技术文件管理，能源管理，设备、工具管理等。
D02,经济管理,D00/09,计划、供销、财务、劳资管理等。
D04,基础标准与通用方法,D00/09,术语、符号、取样、制样方法，矿产品种与分级等。
D07,计算机应用,D00/09,
D08,标志、包装、运输、贮存,D00/09,
D09,卫生、安全、劳动保护,D00/09,矿山安全标志，防火、灭火，矿山净化，瓦斯预测、抽放及爆炸处理等。矿山防爆灯入K35。
D10,地质矿产勘察与开发综合,D10/19,术语，符号，分类，区域地质调查，地形测量，编图，质量规范等。泥浆入此。
D11,固体燃料矿产勘察,D10/19,煤矿、油页岩普查勘探规范等。
D12,金属矿产勘察,D10/19,金属矿、放射性矿普查勘探规范等。
D13,非金属矿产勘察,D10/19,非金属矿普查勘探规范等。
D14,水文地质勘察,D10/19,水文地质、地热资源普查勘探规范，区域工程地质调查，编图等。
D15,采矿,D10/19,各矿种采矿规范等。
D16,选矿,D10/19,实验室矿物分选、矿山生产选矿规范等。煤炭筛选、洗煤规范入此。
D18,矿山运输,D10/19,矿山铁路运输入S94。
D20,固体燃料矿综合,D20/29,术语，符号，分类，取样、制样方法等。
D21,煤炭分析方法,D20/29,分析、测定、试验方法，检验规则等。
D22,车船、煤气用煤,D20/29,机车、船舶、发生炉煤气用煤等。
D23,电站 工业锅炉用煤,D20/29,
D24,炼焦、化工、建材用煤,D20/29,冶金煤、铸造焦、合成焦、水泥窑、电石用煤等。
D26,煤岩,D20/29,
D27,选煤,D20/29,煤炭可选性、可浮性，浮选药剂，重介质，选煤试验方法及工业用型煤等。
D28,油页岩,D20/29,
D30,黑色金属矿综合,D30/39,术语，取样、制样方法等。
D31,铁矿,D30/39,原矿石、精矿等。硫铁矿入D51。
D32,锰矿,D30/39,原矿石、精矿等。
D33,铬矿,D30/39,原矿石、精矿等。
D40,有色金属矿综合,D40/49,术语，分类，取样、制样方法，通用分析方法等。
D41,轻金属矿,D40/49,钠、镁、铝、钾、钙、锶、钡等原矿石及精矿。
D42,重金属矿,D40/49,钴、镍、铜、锌、镉、锡、锑、汞、铅、铋等原矿石及精矿。
D43,稀有金属矿,D40/49,稀有轻金属、高熔点金属、分散金属、稀土金属、放射性金属等原矿石及精矿。
D45,放射性金属矿,D40/49,钋、镭、锕、钍、镤、铀等原矿石及精矿。
D46,贵金属矿,D40/49,钌、铑、钯、银、锇、铱、铂、金等原矿石及精矿。
D47,非金属矿综合,D50/59,术语，分类，取样、制样方法，通用分析方法等。
D51,化工原料矿,D50/59,硫铁矿、自然硫、磷矿、钾盐、钾长石、明矾石、硼矿、芒硝、硝石、天然碱、镁盐、碘、溴、砷、重晶石、毒重石、海绿石、蛇纹石等。盐矿（岩盐、池盐、井盐）入X37，化工、冶金用石灰岩入D53。
D52,冶金辅助原料矿,D50/59,白云石、菱镁矿、高铝矿（蓝晶石、红晶石、硅线石、蓝线石、水铝石）、萤石、铁钒土、铸型用砂等。
D53,建材原料矿,D50/59,云母、石棉、高岭土、石墨、石膏、滑石、石灰岩、泥灰岩、凝灰岩、硅石（石英沙石、石英岩、脉石英）、长石、大理岩、花岗岩、片麻岩、辉绿岩等。天然沥青入E43。
D54,粘土、轻质材料非金属矿,D50/59,砖瓦粘土、铸型用粘土、耐火粘土、玄武岩、珍珠岩、松脂岩、黑曜岩、蛭石、硅藻土、膨润土等。
D58,特种非金属矿,D50/59,压电水晶、熔炼水晶、光学水晶、冰洲石、光学萤石、压电电器石、金刚石、蓝石棉等矿产品。
D59,其他非金属矿,D50/59,冰晶石、刚玉、黄玉、石榴石、天然油石、宝石、彩石、矿物颜料（赫石、蓝铁矿）等矿产品。地下水气资源入此。地蜡入E42。
D80,地质勘探设备综合,D80/89,术语、符号、测试方法等。
D81,地质勘探设备,D80/89,地质勘探用钻机、泥浆泵、提升工具、打捞工具、钻具、扭卸工具等。
D82,地球物理勘探设备,D80/89,电法、磁法、重力法、地震法、测井法、放射性法勘探用设备以及泥浆，钻孔测量用的仪表等。
D84,地质化学勘探设备,D80/89,测录仪、矿物介电分离仪、岩矿现场综合分析仪等。
D90,矿山机械设备综合,D90/99,术语，分类，通用试验方法、检验规则等。
D91,建井设备,D90/99,钻井机、伞形钻架、抓岩机、凿岩绞车、吊桶、井盘、特殊凿井设备、井壁砌建设备等。
D92,采掘设备,D90/99,矿用穿孔机、装药机、掘进机、挖掘机、装载机、露天采掘设备等。气动工具入J48。
D93,提升、贮运设备,D90/99,矿用提升机、提升绞车、调度绞车、巷道运输设备、煤仓、扒斗等。通用运输提升机械入J81。
D94,破碎、粉磨设备,D90/99,矿用破碎机、磨矿机等。
D95,筛分设备,D90/99,矿用振动筛等。
D96,洗选设备,D90/99,重力选、浮选、磁选、脱水、分级、干燥设备等。
D97,矿山支护设备,D90/99,支护器材入此。
D98,煤矿专用设备器材,D90/99,煤矿专用凿井设备、采煤机、刨煤机、煤电钻、支护器材、煤矿专用供电、通信、监控、监测、照明设备器材，以及它们的试验方法等。
E00,标准化、质量管理,E00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
E01,技术管理,E00/09,技术文件管理，能源管理，设备、工具管理等。
E02,经济管理,E00/09,计划、供销、财务、劳资管理等。
E04,基础标准与通用方法,E00/09,术语，符号，石油产品检验误差，试验方法精确度一般规则等。
E07,计算机应用,E00/09,
E08,标志、包装、运输、贮存,E00/09,石油与石油产品的计量入此。
E09,卫生、安全、劳动保护,E00/09,
